slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
acc_05,레그워머,acc,마이크로,마이크로,도입,-1.526,0.4931,0.0685,0.2492,0.178,0.1216,0.0992,1.5786,2.3256,1.0,100.0,14.0,262,52,0
acc_06,베레모,acc,메가,메가,쇠퇴/잔존,1.0919,-1.1012,0.3289,0.2007,-0.0679,-0.0975,0.4351,0.2082,2.1277,0.1916,100.0,31.0,262,52,1
acc_07,볼캡,acc,스테디,메가,쇠퇴/잔존,2.6286,-1.4563,0.2053,0.376,0.0403,0.0712,0.855,0.1535,1.4925,1.0,100.0,64.0,262,52,2
acc_08,스카프,acc,스테디,메가,성장,2.7269,-1.1956,0.7709,0.7291,0.1243,0.2414,0.4198,0.1221,2.1277,1.0,100.0,52.0,262,52,2
acc_10,헤어밴드,acc,스테디,스테디,성장,1.7533,-1.2557,0.3105,0.5806,0.0552,0.1391,0.5878,0.154,1.9231,1.0,100.0,53.0,262,52,2
acc_11,페도라,acc,스테디,마이크로,도입,-0.1065,-0.8454,0.1467,0.2638,0.0205,0.1977,0.3321,0.3801,2.2727,1.0,100.0,40.0,262,52,2
acc_13,벨트,acc,스테디,메가,도입,-0.2642,-0.9214,0.4754,0.2356,0.0264,0.1644,0.0344,0.1285,2.7027,1.0,100.0,40.0,262,52,2
acc_15,귀도리,acc,마이크로,스테디,도입,-2.1386,0.7097,0.0,0.6159,0.1116,0.1152,0.0267,1.1623,3.7736,1.0,100.0,3.0,262,52,0
acc_a01,바라클라바,acc,스테디,스테디,도입,-1.0995,1.7217,0.1693,0.7261,0.1906,0.1342,0.1069,0.6572,7.1429,1.0,100.0,10.0,262,52,2
acc_a02,니삭스,acc,메가,마이크로,쇠퇴/잔존,-1.7832,0.1719,0.1108,0.1157,-0.0368,0.0961,0.0115,0.3446,4.5455,0.0,100.0,17.0,262,52,1
